route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"AS",2,1034,"Wall St./Pier 11",4105,0,41,108
"AS",2,1035,"Wall St./Pier 11",4206,0,42,108
"AS",2,1036,"Wall St./Pier 11",4304,0,43,108
"AS",2,1037,"Wall St./Pier 11",4107,0,41,108
"AS",2,1038,"Wall St./Pier 11",4208,0,42,108
"AS",2,1039,"Wall St./Pier 11",4306,0,43,108
"AS",2,1040,"Wall St./Pier 11",4109,0,41,108
"AS",2,1041,"Wall St./Pier 11",4210,0,42,108
"AS",2,1042,"Wall St./Pier 11",4308,0,43,108
"AS",2,1043,"Wall St./Pier 11",4111,0,41,108
"AS",2,1044,"Wall St./Pier 11",4212,0,42,108
"AS",2,1045,"Wall St./Pier 11",4310,0,43,108
"AS",2,1046,"Wall St./Pier 11",4113,0,41,108
"AS",2,1047,"Wall St./Pier 11",4214,0,42,108
"AS",2,1048,"Wall St./Pier 11",4312,0,43,108
"SV",2,1049,"Ferry Point Park",6201,1,62,15
"SV",2,1050,"Ferry Point Park",6102,1,61,15
"SV",2,1051,"Ferry Point Park",6203,1,62,15
"SV",2,1052,"Ferry Point Park",6104,1,61,15
"SV",2,1053,"Ferry Point Park",6301,1,63,15
"SV",2,1054,"Ferry Point Park",6205,1,62,15
"SV",2,1055,"Ferry Point Park",6106,1,61,15
"SV",2,1057,"Ferry Point Park",6303,1,63,15
"SV",2,1058,"Ferry Point Park",6207,1,62,15
"SV",2,1059,"Ferry Point Park",6108,1,61,15
"SV",2,1060,"Ferry Point Park",6305,1,63,15
"SV",2,1061,"Ferry Point Park",6209,1,62,15
"SV",2,1062,"Ferry Point Park",6110,1,61,15
"SV",2,1063,"Ferry Point Park",6307,1,63,15
"SV",2,1064,"Ferry Point Park",6211,1,62,15
"SV",2,1065,"Ferry Point Park",6112,1,61,15
"SV",2,1066,"Ferry Point Park",6309,1,63,15
"SV",2,1067,"Ferry Point Park",6213,1,62,15
"SV",2,1068,"Ferry Point Park",6114,1,61,15
"SV",2,1069,"Wall St./Pier 11",6101,0,61,83
"SV",2,1070,"Wall St./Pier 11",6202,0,62,83
"SV",2,1071,"Wall St./Pier 11",6103,0,61,83
"SV",2,1072,"Wall St./Pier 11",6204,0,62,83
"SV",2,1073,"Wall St./Pier 11",6105,0,61,83
"SV",2,1074,"Wall St./Pier 11",6302,0,63,83
"SV",2,1075,"Wall St./Pier 11",6206,0,62,83
"SV",2,1076,"Wall St./Pier 11",6107,0,61,83
"SV",2,1077,"Wall St./Pier 11",6304,0,63,83
"SV",2,1078,"Wall St./Pier 11",6208,0,62,83
"SV",2,1079,"Wall St./Pier 11",6109,0,61,83
"SV",2,1080,"Wall St./Pier 11",6306,0,63,83
