trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
car1_Standard_toRI_163730,16:37:30,16:38:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_163730,16:45:00,16:45:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_165230,16:52:30,16:53:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_165230,17:00:00,17:00:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_170730,17:07:30,17:08:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_170730,17:15:00,17:15:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_172230,17:22:30,17:23:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_172230,17:30:00,17:30:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_173730,17:37:30,17:38:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_173730,17:45:00,17:45:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_175230,17:52:30,17:53:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_175230,18:00:00,18:00:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_180730,18:07:30,18:08:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_180730,18:15:00,18:15:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_182230,18:22:30,18:23:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_182230,18:30:00,18:30:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_183730,18:37:30,18:38:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_183730,18:45:00,18:45:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_185230,18:52:30,18:53:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_185230,19:00:00,19:00:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_190730,19:07:30,19:08:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_190730,19:15:00,19:15:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_192230,19:22:30,19:23:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_192230,19:30:00,19:30:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_193730,19:37:30,19:38:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_193730,19:45:00,19:45:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_195230,19:52:30,19:53:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Standard_toRI_195230,20:00:00,20:00:30,1,2,,0,0,,,0.956,1
car1_Standard_toRI_200730,20:07:30,20:08:00,2,1,Roosevelt Island,0,0,,,0,1
